employee_id,store_id,first_name,last_name,role,job_family,employment_type,start_date,contracted_hours_per_week,base_hourly_rate,insurance_enrolled,flexibility_preference,is_high_leave_balance,is_new_starter,is_high_flexibility
116,3,Emily,Morgan,Grocery / Nightfill,Grocery,part_time,2026-04-09,15.1,24.8,True,0.727,True,True,False
117,6,Carol,Saunders,Checkout / Front End,Checkout,casual,2021-07-10,7.4,25.61,True,0.383,False,False,False
118,1,Richard,Todd,Checkout / Front End,Checkout,part_time,2020-10-30,22.2,24.75,True,0.262,False,False,False
119,4,Christopher,Anderson,Checkout / Front End,Checkout,part_time,2024-04-10,19.5,27.81,True,0.543,False,False,False
120,6,Alexandra,Smith,Grocery / Nightfill,Grocery,full_time,2026-05-25,39.1,25.84,False,0.788,False,False,False
121,6,Hayley,Harris,Checkout / Front End,Checkout,part_time,2024-08-16,17.9,26.86,True,0.991,False,False,False
122,10,Fiona,McCarthy,Checkout / Front End,Checkout,part_time,2026-03-12,21.1,27.44,True,0.792,False,False,False
123,12,Bryan,Casey,Online / Click & Collect,Online,part_time,2026-05-25,15.5,28.47,False,0.297,False,False,False
124,9,Brett,Ryan,Online / Click & Collect,Online,full_time,2017-03-08,40.0,25.57,True,0.569,False,False,False
125,1,Rebecca,Kelly,Online / Click & Collect,Online,casual,2021-10-28,0.0,27.8,False,0.676,False,False,False
126,5,Gregory,Hart,Checkout / Front End,Checkout,casual,2021-06-25,22.1,27.61,True,0.659,False,False,False
127,9,Kieran,Godfrey,Store Management,Management,full_time,2026-06-10,40.0,32.78,True,0.739,False,True,False
128,8,Matthew,Cole,Fresh Foods,Fresh,part_time,2023-04-02,12.9,28.39,True,0.418,False,False,False
129,6,Aimee,O'Connor,Checkout / Front End,Checkout,full_time,2019-08-11,40.0,25.74,False,0.634,False,False,False
130,6,Samuel,Kelly,Checkout / Front End,Checkout,part_time,2022-10-19,24.0,26.77,False,0.712,False,False,False
131,5,Jan,Peters,Online / Click & Collect,Online,part_time,2020-12-30,23.8,26.8,True,0.802,False,False,False
132,7,Aaron,Carr,Checkout / Front End,Checkout,part_time,2023-04-29,18.2,25.41,True,0.443,False,False,False
133,3,Cohen,Harris,Fresh Foods,Fresh,part_time,2023-10-16,16.7,25.61,True,0.544,False,False,False
134,7,Nia,Howard,Other / Support,Support,casual,2026-05-25,10.3,25.14,False,0.025,False,False,False
135,3,Mark,Coleman,Checkout / Front End,Checkout,full_time,2026-05-25,38.5,24.86,False,0.483,False,False,False
136,9,Anthony,Dixon,Checkout / Front End,Checkout,casual,2023-07-14,23.2,26.73,False,0.505,False,False,False
137,11,Julie,Higgins,Other / Support,Support,full_time,2026-06-16,38.0,26.43,False,0.396,False,True,False
138,7,Connor,Anderson,Fresh Foods,Fresh,full_time,2026-05-25,35.2,25.97,True,0.656,False,False,False
139,5,Scott,Barnes,Checkout / Front End,Checkout,part_time,2022-10-22,22.9,26.92,False,0.608,False,False,False
140,12,Russell,Coley,Store Management,Management,part_time,2022-07-11,23.5,42.99,True,0.123,False,False,False
141,8,Nigel,Sutton,Store Management,Management,casual,2026-05-25,17.2,40.63,True,0.667,False,False,False
142,6,Hayden,Lammas,Fresh Foods,Fresh,casual,2025-08-16,18.0,29.21,False,0.416,False,False,False
143,1,Gary,MacDonald,Fresh Foods,Fresh,part_time,2021-05-24,16.4,26.73,True,0.727,False,False,False
144,1,Leah,Fowler,Checkout / Front End,Checkout,casual,2021-06-16,4.6,27.43,False,0.338,False,False,False
145,3,Scott,Martin,Checkout / Front End,Checkout,part_time,2026-05-22,12.8,24.76,False,0.627,False,False,False
146,3,Anthony,Lloyd,Fresh Foods,Fresh,part_time,2022-03-10,8.2,28.33,False,0.558,False,False,False
147,9,Shane,Chapman,Checkout / Front End,Checkout,full_time,2019-06-05,38.1,27.96,True,0.687,False,False,False
148,7,Kylie,Ward,Online / Click & Collect,Online,casual,2020-03-17,11.3,27.96,True,0.647,False,False,False
149,12,Amanda,Laurenson,Department Supervisor,Supervisor,full_time,2023-01-01,36.4,31.48,False,0.564,False,False,False
150,7,Michelle,Newman,Checkout / Front End,Checkout,full_time,2024-03-12,30.1,26.69,False,0.282,False,False,False
151,11,Pippa,Jeffries,Fresh Foods,Fresh,part_time,2024-09-16,10.5,26.59,True,0.295,False,False,False
152,7,Nia,Fisher,Checkout / Front End,Checkout,casual,2021-03-14,21.0,26.88,False,0.492,False,False,False
153,5,Abby,Henderson,Store Management,Management,casual,2022-01-27,6.7,44.33,True,0.618,False,False,False
154,9,Jackson,Mason,Checkout / Front End,Checkout,part_time,2020-09-06,20.2,27.99,False,0.486,False,False,False
155,6,Christine,Olsen,Fresh Foods,Fresh,casual,2022-04-10,0.9,27.22,False,0.758,False,False,False
156,4,Tracy,Gill,Fresh Foods,Fresh,casual,2020-01-29,23.5,25.28,True,0.559,False,False,False
157,6,John,Murdoch,Grocery / Nightfill,Grocery,part_time,2022-05-24,17.1,26.29,True,0.408,False,False,False
158,8,Jane,Jensen,Online / Click & Collect,Online,part_time,2020-03-08,19.7,25.42,False,0.559,False,False,False
159,5,Sarah,Robson,Online / Click & Collect,Online,casual,2019-11-29,25.0,25.86,False,0.67,False,False,False
160,9,Olivia,Jackson,Fresh Foods,Fresh,part_time,2025-04-09,27.1,26.48,False,0.691,False,False,False
161,12,Josephine,Furness,Department Supervisor,Supervisor,part_time,2026-05-25,16.2,32.39,True,1.0,False,False,False
162,5,Joshua,Way,Other / Support,Support,full_time,2017-10-04,36.0,25.51,False,0.473,False,False,False
163,4,Louise,Anderson,Grocery / Nightfill,Grocery,part_time,2021-11-16,16.0,25.0,True,0.604,False,False,False
164,5,Joy,Lewis,Fresh Foods,Fresh,full_time,2026-05-25,38.8,25.2,True,0.714,False,False,False
165,11,Tania,Smith,Checkout / Front End,Checkout,casual,2024-12-24,11.2,27.56,True,0.615,False,False,False
166,3,Damian,Terry,Department Supervisor,Supervisor,full_time,2020-03-23,36.5,32.16,False,0.51,False,False,False
167,12,Deborah,Davey,Fresh Foods,Fresh,full_time,2023-08-04,40.0,25.18,False,0.279,False,False,False
168,5,Troy,Cameron,Grocery / Nightfill,Grocery,casual,2024-05-02,11.1,24.58,False,0.508,False,False,False
169,11,Glenn,Curtis,Checkout / Front End,Checkout,full_time,2018-03-19,40.0,26.46,False,0.384,False,False,False
170,10,Gary,Wilkinson,Store Management,Management,full_time,2026-01-18,37.7,36.52,True,0.946,False,False,True
171,10,Rochelle,Smith,Grocery / Nightfill,Grocery,part_time,2025-04-01,28.7,26.29,True,0.445,False,False,False
172,11,Hannah,Owen,Online / Click & Collect,Online,casual,2022-01-07,14.9,26.52,True,0.39,False,False,False
173,3,Grant,Reid,Checkout / Front End,Checkout,full_time,2026-05-19,39.9,27.73,True,0.748,False,True,False
174,8,Paul,Stevens,Other / Support,Support,part_time,2021-02-08,13.7,26.08,True,0.752,False,False,False
175,2,Dylan,Price,Checkout / Front End,Checkout,casual,2019-10-12,5.2,26.88,False,0.421,False,False,False
176,4,Isabella,McLachlan,Checkout / Front End,Checkout,casual,2022-01-22,15.7,24.69,False,0.563,False,False,False
177,1,James,Simonsen,Store Management,Management,part_time,2021-02-17,23.9,47.29,False,0.971,False,False,True
178,9,Chloe,Read,Store Management,Management,full_time,2023-07-12,37.6,47.69,True,0.511,False,False,False
179,8,Andrew,Green,Checkout / Front End,Checkout,full_time,2026-04-15,34.3,27.09,True,0.708,False,True,False
180,9,Barbara,Fitzgerald,Grocery / Nightfill,Grocery,full_time,2022-05-09,34.1,25.9,True,0.801,False,False,False
181,3,Nicola,Edwards,Online / Click & Collect,Online,full_time,2022-01-03,33.9,25.77,True,0.463,False,False,False
182,4,Brian,Williams,Store Management,Management,part_time,2020-03-23,8.0,45.0,True,0.851,False,False,False
183,9,Courtney,Thornton,Grocery / Nightfill,Grocery,full_time,2020-12-02,37.8,26.71,True,0.287,False,False,False
184,10,Joshua,Howell,Fresh Foods,Fresh,part_time,2022-07-22,24.8,26.0,True,0.346,False,False,False
185,11,Teresa,Weston,Online / Click & Collect,Online,part_time,2025-04-14,17.9,26.58,False,0.776,False,False,False
186,1,Alexandra,Burgess,Online / Click & Collect,Online,part_time,2022-06-24,8.0,26.62,True,0.988,False,False,False
187,5,Troy,Brown,Department Supervisor,Supervisor,full_time,2022-10-14,37.0,32.96,True,0.729,False,False,False
188,1,Zoe,Bell,Fresh Foods,Fresh,casual,2022-01-29,10.7,28.08,True,0.611,False,False,False
189,10,Anna,Martin,Checkout / Front End,Checkout,part_time,2015-08-21,30.0,26.75,True,0.137,False,False,False
190,2,Daniel,Bird,Store Management,Management,part_time,2024-05-16,9.3,42.4,True,0.175,False,False,False
191,10,Adam,McFarlane,Store Management,Management,full_time,2021-05-06,36.5,36.33,True,0.648,False,False,False
192,2,Toni,Jackson,Department Supervisor,Supervisor,full_time,2019-04-12,40.0,30.23,False,0.902,False,False,True
193,1,Dominic,Gardiner,Checkout / Front End,Checkout,casual,2022-05-20,15.6,24.66,True,0.377,False,False,False
194,11,Chelsea,Corbett,Checkout / Front End,Checkout,part_time,2015-03-20,21.4,27.25,False,0.634,True,False,False
195,6,Emily,Carr,Online / Click & Collect,Online,part_time,2023-11-27,18.7,26.52,True,0.645,False,False,False
196,6,Debra,Bell,Checkout / Front End,Checkout,part_time,2021-08-29,20.0,26.03,True,0.828,False,False,False
197,8,Denise,Grant,Other / Support,Support,part_time,2025-04-02,22.7,25.85,True,0.65,False,False,False
198,4,Frances,Taylor,Grocery / Nightfill,Grocery,casual,2023-10-27,5.5,25.13,True,0.89,False,False,False
199,9,Victoria,Tanner,Online / Click & Collect,Online,part_time,2021-11-25,23.3,27.06,True,0.622,False,False,False
200,6,Troy,Smith,Store Management,Management,casual,2019-12-27,1.0,35.72,False,0.595,False,False,False
201,4,Christina,Kay,Grocery / Nightfill,Grocery,full_time,2026-04-19,38.3,24.69,True,0.854,False,True,False
202,5,Susan,Jensen,Checkout / Front End,Checkout,part_time,2018-09-01,19.1,27.19,False,0.405,False,False,False
203,1,Awhina,Dunn,Fresh Foods,Fresh,part_time,2023-01-01,14.3,26.69,True,1.0,False,False,False
204,4,Elizabeth,Gibson,Fresh Foods,Fresh,full_time,2023-10-05,37.4,26.71,True,0.703,False,False,False
205,8,Tania,Jefferies,Grocery / Nightfill,Grocery,full_time,2014-01-16,35.9,25.79,True,0.704,True,False,False
206,2,Barry,Rowe,Fresh Foods,Fresh,part_time,2021-06-08,11.6,28.67,True,0.736,False,False,False
207,2,Simon,Newton,Other / Support,Support,casual,2024-12-30,9.2,26.26,True,1.0,False,False,False
208,8,Robert,Jones,Grocery / Nightfill,Grocery,part_time,2024-12-01,11.4,26.77,False,0.794,False,False,False
209,6,David,Herd,Checkout / Front End,Checkout,casual,2025-09-17,14.6,27.79,False,0.267,False,False,False
210,2,Wayne,Bryant,Grocery / Nightfill,Grocery,casual,2019-09-13,2.8,26.48,False,0.912,False,False,True
211,9,Elizabeth,Powell,Grocery / Nightfill,Grocery,part_time,2023-11-11,22.3,25.8,True,0.545,False,False,False
212,10,Marcus,Bryant,Checkout / Front End,Checkout,casual,2022-04-16,2.5,27.12,False,0.644,False,False,False
213,1,Gina,York,Checkout / Front End,Checkout,full_time,2022-11-25,36.1,26.1,True,0.339,False,False,False
214,3,James,Shaw,Online / Click & Collect,Online,full_time,2026-06-04,35.9,26.45,False,0.736,False,True,False
215,5,Megan,O'Sullivan,Grocery / Nightfill,Grocery,casual,2025-05-28,22.6,26.08,False,0.477,False,False,False
216,9,David,Black,Other / Support,Support,casual,2026-02-20,14.6,26.25,False,0.642,False,False,False
217,1,Xavier,Joe,Checkout / Front End,Checkout,full_time,2021-12-23,37.0,24.86,False,0.557,False,False,False
218,10,Antony,Crawford,Checkout / Front End,Checkout,part_time,2020-10-09,21.0,25.95,False,1.0,False,False,False
219,4,Michael,Hutchinson,Department Supervisor,Supervisor,part_time,2021-08-19,8.0,28.74,True,1.0,False,False,False
220,2,Hamish,Whyte,Store Management,Management,casual,2025-04-15,11.7,38.57,False,0.63,False,False,False
221,11,Flynn,Neal,Checkout / Front End,Checkout,part_time,2020-07-12,30.0,26.45,True,0.941,False,False,True
222,2,Noah,Williams,Checkout / Front End,Checkout,part_time,2025-01-28,18.8,27.76,False,0.538,False,False,False
223,2,Hayley,Paul,Checkout / Front End,Checkout,part_time,2024-05-13,18.4,24.63,False,0.863,False,False,False
224,12,Stuart,Bishell,Fresh Foods,Fresh,part_time,2025-09-19,21.3,27.8,True,0.548,False,False,False
225,7,Margaret,Bell,Grocery / Nightfill,Grocery,part_time,2018-07-14,23.4,25.87,True,0.527,False,False,False
226,6,Patrick,Hadfield,Checkout / Front End,Checkout,casual,2020-09-01,0.0,24.57,True,0.835,False,False,False
227,9,Fiona,Smith,Checkout / Front End,Checkout,part_time,2020-10-04,8.0,25.37,True,0.502,False,False,False
228,8,Jason,Cameron,Grocery / Nightfill,Grocery,full_time,2018-09-15,38.0,24.86,True,0.612,False,False,False
229,8,Matthew,Smith,Other / Support,Support,full_time,2013-09-11,35.7,25.69,False,0.272,True,False,False
230,1,Aimee,Smith,Fresh Foods,Fresh,part_time,2026-05-25,25.9,26.24,True,0.775,False,False,False
231,7,Adam,Morgan,Grocery / Nightfill,Grocery,casual,2025-01-22,9.5,25.7,False,1.0,False,False,False
232,4,Daniel,Barnett,Checkout / Front End,Checkout,full_time,2024-09-01,32.7,26.35,True,0.779,False,False,False
233,10,Caleb,Holloway,Checkout / Front End,Checkout,full_time,2025-06-02,34.3,24.5,True,0.942,False,False,False
234,7,Judith,Turner,Checkout / Front End,Checkout,part_time,2026-02-22,8.0,25.07,True,0.434,False,False,False
235,2,Frances,Mortimer,Department Supervisor,Supervisor,full_time,2023-08-28,36.9,28.56,False,0.672,False,False,False
236,11,Jason,Stace,Store Management,Management,casual,2026-05-25,10.5,40.79,True,0.413,False,False,False
237,4,Allan,Price,Store Management,Management,part_time,2021-08-16,15.5,37.27,True,0.57,False,False,False
238,4,Jason,Robb,Other / Support,Support,full_time,2022-07-13,40.0,27.52,True,0.79,False,False,False
239,12,Pamela,Anderson,Other / Support,Support,casual,2021-02-26,21.6,25.72,False,0.642,False,False,False
240,10,James,Pritchard,Other / Support,Support,full_time,2021-01-26,37.1,24.63,True,0.309,False,False,False
241,11,Nicola,Wells,Checkout / Front End,Checkout,part_time,2020-10-07,8.0,27.79,False,0.331,False,False,False
